,VPN,Date,Depart,Arrivé,Prix,Temps de vol,Heure de départ,Heure d'arrivé,Nombre d'escales,Compagnies,PIB par habitant (€)
0,Cambodge,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",510 €,19h 10m,09:30,12:40,1 escale,Etihad Airways,3400.0
1,Cambodge,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",762 €,13h 45m,11:25,09:10,Direct,Air France,3400.0
2,Cambodge,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",700 €,19h 20m,12:30,15:50,1 escale,Thai Airways,3400.0
3,Cambodge,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",799 €,18h 55m,14:25,17:20,1 escale,Emirates,3400.0
4,Cambodge,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",816 €,18h 35m,15:20,17:55,1 escale,Qatar Airways,3400.0
5,Cambodge,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",793 €,20h 40m,13:15,17:55,2 escales,Plusieurs compagnies,3400.0
6,Cambodge,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",852 €,19h 30m,15:30,19:00,1 escale,Plusieurs compagnies,3400.0
7,Cambodge,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",535 €,31h 10m,21:30,12:40,2 escales,Plusieurs compagnies,3400.0
8,Cambodge,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",770 €,22h 25m,11:30,17:55,2 escales,Plusieurs compagnies,3400.0
9,Cambodge,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",532 €,33h 20m,19:20,12:40,2 escales,Plusieurs compagnies,3400.0
10,Cambodge,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",704 €,25h 30m,08:25,17:55,1 escale,Qatar Airways,3400.0
11,Cambodge,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",943 €,19h 20m,12:15,15:35,1 escale,Cathay Pacific,3400.0
12,Cambodge,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",799 €,23h 20m,10:00,17:20,1 escale,Emirates,3400.0
13,Cambodge,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",788 €,23h 45m,10:10,17:55,3 escales,Plusieurs compagnies,3400.0
14,Cambodge,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",782 €,24h 0m,11:00,19:00,2 escales,Plusieurs compagnies,3400.0
15,Cambodge,30/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",152 €,3h 15m,12:10,14:25,Direct,Royal Air Maroc,3400.0
16,Cambodge,30/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",154 €,5h 15m,13:45,18:00,1 escale,Plusieurs compagnies,3400.0
